I260425 16:03:43.391289 114 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 16:03:43
I260425 16:03:43.391322 114 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 16:03:43.391333 114 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 16:03:43.391338 114 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--store=/mnt/crdb1› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/hdd/logs/node1›]
I260425 16:03:43.391353 114 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 16:03:43.391358 114 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 16:03:43.391201 114 13@kv/kvserver/stores.go:252 ⋮ [T1,Vsystem,n1] 1  read 0 node addresses from persistent storage
I260425 16:03:43.391197 1066 13@kv/kvserver/mma_store_rebalancer.go:76 ⋮ [T1,Vsystem,n1,s1] 2  starting multi-metric store rebalancer with mode=‹leases and replicas›
I260425 16:03:44.191238 813 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 3  wrote 0 node addresses to persistent storage
I260425 16:03:44.512270 149 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 4  wrote 1 node addresses to persistent storage
I260425 16:03:44.579132 149 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 5  wrote 2 node addresses to persistent storage
I260425 16:03:44.963626 1938 13@kv/kvserver/allocator/plan/replicate.go:421 ⋮ [T1,Vsystem,n1,replicate,s1,r7/1:/Table/{0-3}] 6  adding voter n3,s3: [1*:13]
I260425 16:03:44.963836 1938 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r7/1:/Table/{0-3}] 7  change replicas (add [(n3,s3):2LEARNER] remove []): existing descriptor r7:/Table/{0-3} [(n1,s1):1, next=2, gen=0]
I260425 16:03:45.031381 1938 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r7/1:/Table/{0-3}] 8  proposing SIMPLE(l2) [(n3,s3):2LEARNER]: after=[(n1,s1):1 (n3,s3):2LEARNER] next=3
I260425 16:03:45.144186 2183 13@kv/kvserver/store_snapshot.go:895 ⋮ [T1,Vsystem,n1,s1,r7/1:/Table/{0-3}] 9  streamed snapshot 901b22d7 at applied index 15 to (n3,s3):2LEARNER with 608 B in 0.00s @ 6.4 MiB/s: kvs=10 rangeKVs=0 sharedSSTs=0, externalSSTs=0, rate-limit: 32 MiB/s, queued: 0.05s
I260425 16:03:45.385199 1938 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r7/1:/Table/{0-3}] 10  change replicas (add [(n3,s3):2] remove []): existing descriptor r7:/Table/{0-3} [(n1,s1):1, (n3,s3):2LEARNER, next=3, gen=1]
I260425 16:03:45.441638 1938 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r7/1:/Table/{0-3}] 11  proposing SIMPLE(v2) [(n3,s3):2]: after=[(n1,s1):1 (n3,s3):2] next=3
I260425 16:03:45.712623 2371 13@kv/kvserver/allocator/plan/replicate.go:421 ⋮ [T1,Vsystem,n1,replicate,s1,r12/1:/Table/{7-8}] 12  adding voter n2,s2: [1*:13]
I260425 16:03:45.712795 2371 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r12/1:/Table/{7-8}] 13  change replicas (add [(n2,s2):2LEARNER] remove []): existing descriptor r12:/Table/{7-8} [(n1,s1):1, next=2, gen=0]
I260425 16:03:45.780482 2371 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r12/1:/Table/{7-8}] 14  proposing SIMPLE(l2) [(n2,s2):2LEARNER]: after=[(n1,s1):1 (n2,s2):2LEARNER] next=3
I260425 16:03:45.885849 2286 13@kv/kvserver/store_snapshot.go:895 ⋮ [T1,Vsystem,n1,s1,r12/1:/Table/{7-8}] 15  streamed snapshot ef6dfbc5 at applied index 15 to (n2,s2):2LEARNER with 642 B in 0.00s @ 6.5 MiB/s: kvs=11 rangeKVs=0 sharedSSTs=0, externalSSTs=0, rate-limit: 32 MiB/s, queued: 0.04s
