I260425 16:03:44.485414 787 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 16:03:44
I260425 16:03:44.485423 787 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 16:03:44.485435 787 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 16:03:44.485442 787 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26259› ‹--http-addr=localhost:8082› ‹--store=/mnt/crdb3› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/hdd/logs/node3›]
I260425 16:03:44.485464 787 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 16:03:44.485469 787 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 16:03:44.485293 787 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n2,s2] 1  beginning range descriptor iteration
I260425 16:03:44.485613 787 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n2,s2] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 16:03:44.485643 787 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n2,s2] 3  loaded state for 0/0 replicas
I260425 16:03:44.485652 787 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n2,s2] 4  loaded 0 replicas
I260425 16:03:44.485659 787 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n2,s2] 5  verified 0/0 replicas
I260425 16:03:44.485667 787 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n2,s2] 6  initialized 0/0 replicas
I260425 16:03:45.941224 930 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 7  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777133028.848426380,0}
I260425 16:03:46.155571 1310 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r12/2:/Table/{7-8}] 8  applied snapshot ef6dfbc5 from (n1,s1):1 at applied index 15 as write (total=59ms data=679 B excise=true ingestion=5@59ms)
I260425 16:03:46.732257 930 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 9  provided support for store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777133029.659732524,0}
I260425 16:03:46.949525 1566 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r7/3:/Table/{0-3}] 10  applied snapshot ce72cab9 from (n3,s3):2 at applied index 27 as write (total=34ms data=794 B excise=true ingestion=5@34ms)
I260425 16:03:47.333506 1594 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r11/2:/Table/{6-7}] 11  applied snapshot e08c07a8 from (n1,s1):1 at applied index 17 as write (total=34ms data=714 B excise=true ingestion=5@34ms)
I260425 16:03:47.955431 1578 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r17/2:/Table/1{3-4}] 12  applied snapshot a96eaa0a from (n1,s1):1 at applied index 25 as write (total=38ms data=6.7 KiB excise=true ingestion=5@38ms)
I260425 16:03:49.465647 1758 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r4/2:/System/{NodeLive…-tsd}] 13  applied snapshot ff2d9fe0 from (n1,s1):1 at applied index 25 (total=307ms data=664 KiB excise=true ingestion=6@249ms)
I260425 16:03:51.594449 1886 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r1/2:/M{in-eta2}] 14  applied snapshot 96d104df from (n1,s1):1 at applied index 16 as write (total=37ms data=652 B excise=true ingestion=5@37ms)
I260425 16:03:52.932067 2199 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r22/2:/Table/1{8-9}] 15  applied snapshot dbdfd60d from (n1,s1):1 at applied index 15 as write (total=39ms data=656 B excise=true ingestion=5@38ms)
I260425 16:03:54.384507 2271 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r2/2:/{Meta2-System/NodeL…}] 16  applied snapshot 73ca64a6 from (n1,s1):1 at applied index 70 as write (total=85ms data=4.6 KiB excise=true ingestion=5@85ms)
I260425 16:03:55.807343 2324 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r6/2:/{System‹tse›-Table/0}] 17  applied snapshot d697cc8c from (n1,s1):1 at applied index 15 as write (total=69ms data=694 B excise=true ingestion=5@68ms)
I260425 16:03:57.738240 2345 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r18/2:/Table/1{4-5}] 18  applied snapshot 1968199b from (n1,s1):1 at applied index 15 as write (total=37ms data=656 B excise=true ingestion=5@37ms)
I260425 16:03:58.335115 2297 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r19/2:/Table/1{5-6}] 19  applied snapshot cbaacf97 from (n1,s1):1 at applied index 73 as write (total=37ms data=4.3 KiB excise=true ingestion=5@37ms)
I260425 16:03:59.479685 2517 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r20/2:/Table/1{6-7}] 20  applied snapshot 3413b930 from (n1,s1):1 at applied index 15 as write (total=34ms data=656 B excise=true ingestion=5@33ms)
I260425 16:04:00.102274 2520 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r32/2:/Table/2{8-9}] 21  applied snapshot 6b7d070b from (n1,s1):1 at applied index 15 as write (total=65ms data=656 B excise=true ingestion=5@65ms)
I260425 16:04:01.852107 2598 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r24/2:/Table/2{0-1}] 22  applied snapshot 06025a9e from (n1,s1):1 at applied index 15 as write (total=97ms data=656 B excise=true ingestion=5@96ms)
I260425 16:04:02.490526 2492 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r27/2:/Table/2{3-4}] 23  applied snapshot 9901d5c4 from (n1,s1):1 at applied index 18 as write (total=38ms data=887 B excise=true ingestion=5@38ms)
I260425 16:04:03.342630 2430 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r21/3:/Table/1{7-8}] 24  applied snapshot c87a6b0f from (n3,s3):2 at applied index 25 as write (total=74ms data=806 B excise=true ingestion=5@70ms)
I260425 16:04:04.457066 2688 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r28/2:/Table/2{4-5}] 25  applied snapshot 62734444 from (n1,s1):1 at applied index 15 as write (total=36ms data=656 B excise=true ingestion=5@36ms)
I260425 16:04:07.347505 2837 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r35/2:/{NamespaceTab…-Table/32}] 26  applied snapshot 72bb846d from (n1,s1):1 at applied index 15 as write (total=58ms data=656 B excise=true ingestion=5@51ms)
I260425 16:04:07.385421 2729 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r14/3:/Table/{9-11}] 27  applied snapshot 918471cb from (n3,s3):2 at applied index 26 as write (total=66ms data=806 B excise=true ingestion=5@59ms)
I260425 16:04:07.974336 2827 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r33/2:/{Table/29-NamespaceTab…}] 28  applied snapshot 380a02ac from (n1,s1):1 at applied index 15 as write (total=37ms data=656 B excise=true ingestion=5@37ms)
I260425 16:04:08.545358 930 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n2,s2] 29  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 16:04:08.545396 930 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n2,s2] 30  starting to heartbeat store {NodeID:2 StoreID:2}
I260425 16:04:08.656285 930 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 31  provided support for store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777133051.545402139,0}
I260425 16:04:08.703524 1021 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n2,s2,r28/2:/Table/2{4-5},raft] 32  rejected lease request repl=(n2,s2):2 seq=2 start=1777133048.401573018,0 type=LeaseExpiration exp=1777133054.459002071,0 pro=1777133048.459002071,0 acq=Request; current lease repl=(n2,s2):2 seq=2 start=1777133048.401573018,0 type=LeaseExpiration exp=1777133054.459002071,0 pro=1777133048.459002071,0 acq=Request; err: cannot replace lease repl=(n2,s2):2 seq=2 start=1777133048.401573018,0 type=LeaseExpiration exp=1777133054.459002071,0 pro=1777133048.459002071,0 acq=Request with repl=(n2,s2):2 seq=2 start=1777133048.401573018,0 type=LeaseExpiration exp=1777133054.459002071,0 pro=1777133048.459002071,0 acq=Request: ‹proposed under invalid lease›
I260425 16:04:08.738286 930 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n2,s2] 33  received support from store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777133051.545402139,0}
I260425 16:04:08.738334 930 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n2,s2] 34  received support from store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777133051.545402139,0}
I260425 16:04:08.895591 930 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n2,s2] 35  starting to heartbeat store {NodeID:3 StoreID:3}
I260425 16:04:09.121360 930 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n2,s2] 36  received support from store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777133051.895628604,0}
I260425 16:04:10.031694 2893 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r36/2:/Table/3{2-3}] 37  applied snapshot 74ba991f from (n1,s1):1 at applied index 15 as write (total=65ms data=656 B excise=true ingestion=5@65ms)
I260425 16:04:10.764173 1022 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n2,s2,r12/2:/Table/{7-8},raft] 38  rejected lease request repl=(n2,s2):2 seq=2 start=1777133050.402111975,0 type=LeaseExpiration exp=1777133056.498640644,0 pro=1777133050.498640644,0 acq=Request; current lease repl=(n2,s2):2 seq=2 start=1777133050.402111975,0 type=LeaseExpiration exp=1777133056.498640644,0 pro=1777133050.498640644,0 acq=Request; err: cannot replace lease repl=(n2,s2):2 seq=2 start=1777133050.402111975,0 type=LeaseExpiration exp=1777133056.498640644,0 pro=1777133050.498640644,0 acq=Request with repl=(n2,s2):2 seq=2 start=1777133050.402111975,0 type=LeaseExpiration exp=1777133056.498640644,0 pro=1777133050.498640644,0 acq=Request: ‹proposed under invalid lease›
I260425 16:04:10.764442 2577 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r31/2:/Table/2{7-8}] 39  applied snapshot c95621e1 from (n1,s1):1 at applied index 15 as write (total=66ms data=656 B excise=true ingestion=5@66ms)
I260425 16:04:12.299988 3250 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r46/2:/Table/4{2-3}] 40  applied snapshot f8ed245f from (n1,s1):1 at applied index 16 as write (total=20ms data=656 B excise=true ingestion=5@19ms)
I260425 16:04:13.407958 3257 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r47/2:/Table/4{3-4}] 41  applied snapshot f1c99324 from (n1,s1):1 at applied index 15 as write (total=19ms data=656 B excise=true ingestion=5@18ms)
I260425 16:04:14.598361 3260 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r44/2:/Table/4{0-1}] 42  applied snapshot 2183c10d from (n1,s1):1 at applied index 17 as write (total=19ms data=713 B excise=true ingestion=5@19ms)
I260425 16:04:15.346302 3322 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r48/2:/Table/4{4-5}] 43  applied snapshot e7b5099b from (n1,s1):1 at applied index 15 as write (total=56ms data=656 B excise=true ingestion=5@49ms)
I260425 16:04:15.492063 3367 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r5/3:/System{/tsd-‹tse›}] 44  applied snapshot 4af4a1de from (n3,s3):2 at applied index 48 (total=296ms data=1.7 MiB excise=true ingestion=6@232ms)
