I260425 14:14:25.946969 791 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 14:14:25
I260425 14:14:25.946976 791 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 14:14:25.946985 791 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 14:14:25.946990 791 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--store=/mnt/crdb1› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/nvme/logs/node1›]
I260425 14:14:25.947005 791 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 14:14:25.947008 791 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 14:14:25.946790 791 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n1,s1] 1  beginning range descriptor iteration
I260425 14:14:25.947243 791 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n1,s1] 2  range descriptor iteration done: 83 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 170 times (86 internal); stepped 0 times (0 internal); blocks: 0B cached; points: 84 (1.7KB keys, 2.4KB values)›
I260425 14:14:25.947427 791 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n1,s1] 3  loaded state for 83/83 replicas
I260425 14:14:25.947450 791 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n1,s1] 4  loaded 83 replicas
I260425 14:14:25.947460 791 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n1,s1] 5  verified 83/83 replicas
I260425 14:14:25.957666 791 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n1,s1] 6  initialized 83/83 replicas
I260425 14:14:25.985475 907 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n1,s1] 7  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 14:14:25.989907 907 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n1,s1] 8  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777126468.985505420,0}
I260425 14:14:26.000962 907 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n1,s1] 9  received support from store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777126468.985505420,0}
I260425 14:14:26.018804 972 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},raft] 10  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126471.999365951,0 pro=1777126465.999365951,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126471.999365951,0 pro=1777126465.999365951,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126471.999365951,0 pro=1777126465.999365951,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126471.999365951,0 pro=1777126465.999365951,0 acq=Request: ‹proposed under invalid lease›
I260425 14:14:26.037428 995 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r28/1:/Table/2{4-5},raft] 11  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019617079,0 pro=1777126466.019617079,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019617079,0 pro=1777126466.019617079,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019617079,0 pro=1777126466.019617079,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019617079,0 pro=1777126466.019617079,0 acq=Request: ‹proposed under invalid lease›
I260425 14:14:26.037464 948 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r10/1:/Table/{5-6},raft] 12  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019452956,0 pro=1777126466.019452956,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019452956,0 pro=1777126466.019452956,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019452956,0 pro=1777126466.019452956,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777126472.019452956,0 pro=1777126466.019452956,0 acq=Request: ‹proposed under invalid lease›
I260425 14:14:26.060826 1484 15@kv/kvserver/replica_rangefeed.go:868 ⋮ [T1,Vsystem,n1,rangefeed=‹spanconfig-subscriber›,mux_n=1,gen=2,r51/1:/Table/4{7-8},sm=1,sid=1,s1] 13  RangeFeed closed timestamp is empty
I260425 14:14:26.060863 1487 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},rangefeed] 14  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.061643 217 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 15  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.070332 1578 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r11/1:/Table/{6-7},rangefeed] 16  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.109490 1787 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 17  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.119528 1792 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r10/1:/Table/{5-6},rangefeed] 18  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.363734 2375 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 19  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 14:14:26.363749 2403 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r36/1:/Table/3{2-3},rangefeed] 20  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
