I260425 14:50:52.063101 182 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 14:50:52
I260425 14:50:52.063109 182 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 14:50:52.063117 182 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 14:50:52.063122 182 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--store=/mnt/crdb1› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/ssd-fast/logs/node1›]
I260425 14:50:52.063136 182 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 14:50:52.063139 182 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 14:50:52.062951 182 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n1,s1] 1  beginning range descriptor iteration
I260425 14:50:52.063377 182 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n1,s1] 2  range descriptor iteration done: 83 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 170 times (86 internal); stepped 0 times (0 internal); blocks: 0B cached; points: 84 (1.7KB keys, 2.4KB values)›
I260425 14:50:52.063555 182 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n1,s1] 3  loaded state for 83/83 replicas
I260425 14:50:52.063578 182 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n1,s1] 4  loaded 83 replicas
I260425 14:50:52.063587 182 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n1,s1] 5  verified 83/83 replicas
I260425 14:50:52.070509 182 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n1,s1] 6  initialized 83/83 replicas
I260425 14:50:52.160966 878 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n1,s1] 7  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 14:50:52.176937 878 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n1,s1] 8  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777128655.161004623,0}
I260425 14:50:52.193667 878 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n1,s1] 9  received support from store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777128655.161004623,0}
I260425 14:50:52.261371 1068 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 10  created liveness record for n2
I260425 14:50:52.302280 1107 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 11  created liveness record for n3
I260425 14:50:52.320632 942 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},raft] 12  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777128658.219954399,0 pro=1777128652.219954399,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777128658.219954399,0 pro=1777128652.219954399,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777128658.219954399,0 pro=1777128652.219954399,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777128658.219954399,0 pro=1777128652.219954399,0 acq=Request: ‹proposed under invalid lease›
