I260425 15:27:16.850203 818 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 15:27:16
I260425 15:27:16.850211 818 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 15:27:16.850220 818 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 15:27:16.850226 818 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹./cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--store=/mnt/crdb1› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/cockroach/pkg/kv/kvserver/bench_tier_a/phase2_scenario1_results/run-20260425-141417/ssd-slow/logs/node1›]
I260425 15:27:16.850244 818 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 15:27:16.850248 818 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 15:27:16.850066 818 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n1,s1] 1  beginning range descriptor iteration
I260425 15:27:16.850474 818 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n1,s1] 2  range descriptor iteration done: 83 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 170 times (86 internal); stepped 0 times (0 internal); blocks: 0B cached; points: 84 (1.7KB keys, 2.4KB values)›
I260425 15:27:16.850695 818 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n1,s1] 3  loaded state for 83/83 replicas
I260425 15:27:16.850718 818 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n1,s1] 4  loaded 83 replicas
I260425 15:27:16.850728 818 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n1,s1] 5  verified 83/83 replicas
I260425 15:27:16.857824 818 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n1,s1] 6  initialized 83/83 replicas
I260425 15:27:16.962371 938 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n1,s1] 7  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 15:27:16.991205 938 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n1,s1] 8  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777130839.962426048,0}
I260425 15:27:17.016176 938 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n1,s1] 9  received support from store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777130839.962426048,0}
I260425 15:27:17.156322 1003 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r11/1:/Table/{6-7},raft] 10  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042572967,0 pro=1777130837.042572967,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042572967,0 pro=1777130837.042572967,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042572967,0 pro=1777130837.042572967,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042572967,0 pro=1777130837.042572967,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:17.156322 1004 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},raft] 11  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042825345,0 pro=1777130837.042825345,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042825345,0 pro=1777130837.042825345,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042825345,0 pro=1777130837.042825345,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.042825345,0 pro=1777130837.042825345,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:17.199567 1525 15@kv/kvserver/replica_rangefeed.go:868 ⋮ [T1,Vsystem,n1,rangefeed=‹settings-watcher›,mux_n=1,gen=2,r11/1:/Table/{6-7},sm=1,sid=1,s1] 12  RangeFeed closed timestamp is empty
I260425 15:27:17.199618 1540 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r11/1:/Table/{6-7},rangefeed] 13  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.201646 1519 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},rangefeed] 14  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.210204 952 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},raft] 15  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.145198045,0 pro=1777130837.145198045,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.145198045,0 pro=1777130837.145198045,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.145198045,0 pro=1777130837.145198045,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.145198045,0 pro=1777130837.145198045,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:17.210238 944 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r2/1:/{Meta2-System/NodeL…},raft] 16  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.144553190,0 pro=1777130837.144553190,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.144553190,0 pro=1777130837.144553190,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.144553190,0 pro=1777130837.144553190,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.144553190,0 pro=1777130837.144553190,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:17.368720 1636 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 17  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.422740 807 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 18  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.433290 1562 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r10/1:/Table/{5-6},rangefeed] 19  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.519273 1830 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 20  created liveness record for n2
I260425 15:27:17.568207 814 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 21  created liveness record for n3
I260425 15:27:17.819974 2054 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},rangefeed] 22  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.827110 2060 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r11/1:/Table/{6-7},rangefeed] 23  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.856746 2093 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 24  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.869239 1049 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r21/1:/Table/1{7-8},raft] 25  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.757589879,0 pro=1777130837.757589879,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.757589879,0 pro=1777130837.757589879,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.757589879,0 pro=1777130837.757589879,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777130843.757589879,0 pro=1777130837.757589879,0 acq=Request: ‹proposed under invalid lease›
I260425 15:27:17.880668 2113 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r51/1:/Table/4{7-8},rangefeed] 26  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.884757 2125 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r11/1:/Table/{6-7},rangefeed] 27  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 15:27:17.885251 1585 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 28  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
