I260425 12:04:01.363355 97 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 12:04:01
I260425 12:04:01.363361 97 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 12:04:01.363369 97 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 12:04:01.363372 97 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/home/ubuntu/bench_tier_a/cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--store=/mnt/crdb1› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/bench_tier_a/phase2_scenario1_results/hdd/logs/node1›]
I260425 12:04:01.363386 97 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 12:04:01.363389 97 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 12:04:01.363179 97 13@kv/kvserver/stores.go:252 ⋮ [T1,Vsystem,n1] 1  read 0 node addresses from persistent storage
I260425 12:04:01.363241 1121 13@kv/kvserver/mma_store_rebalancer.go:76 ⋮ [T1,Vsystem,n1,s1] 2  starting multi-metric store rebalancer with mode=‹leases and replicas›
I260425 12:04:02.362280 802 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 3  wrote 0 node addresses to persistent storage
I260425 12:04:02.496489 56 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 4  wrote 1 node addresses to persistent storage
I260425 12:04:02.602088 56 13@kv/kvserver/stores.go:271 ⋮ [T1,Vsystem,n1] 5  wrote 2 node addresses to persistent storage
I260425 12:04:02.984536 1939 13@kv/kvserver/allocator/plan/replicate.go:421 ⋮ [T1,Vsystem,n1,replicate,s1,r16/1:/Table/1{2-3}] 6  adding voter n3,s3: [1*:13]
I260425 12:04:02.984777 1939 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r16/1:/Table/1{2-3}] 7  change replicas (add [(n3,s3):2LEARNER] remove []): existing descriptor r16:/Table/1{2-3} [(n1,s1):1, next=2, gen=0]
I260425 12:04:03.052894 1939 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r16/1:/Table/1{2-3}] 8  proposing SIMPLE(l2) [(n3,s3):2LEARNER]: after=[(n1,s1):1 (n3,s3):2LEARNER] next=3
I260425 12:04:03.178784 2135 13@kv/kvserver/store_snapshot.go:895 ⋮ [T1,Vsystem,n1,s1,r16/1:/Table/1{2-3}] 9  streamed snapshot 8851b90c at applied index 15 to (n3,s3):2LEARNER with 606 B in 0.00s @ 5.5 MiB/s: kvs=10 rangeKVs=0 sharedSSTs=0, externalSSTs=0, rate-limit: 32 MiB/s, queued: 0.05s
I260425 12:04:03.417420 1939 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r16/1:/Table/1{2-3}] 10  change replicas (add [(n3,s3):2] remove []): existing descriptor r16:/Table/1{2-3} [(n1,s1):1, (n3,s3):2LEARNER, next=3, gen=1]
I260425 12:04:03.470397 1939 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r16/1:/Table/1{2-3}] 11  proposing SIMPLE(v2) [(n3,s3):2]: after=[(n1,s1):1 (n3,s3):2] next=3
I260425 12:04:03.539203 2388 13@kv/kvserver/allocator/plan/replicate.go:421 ⋮ [T1,Vsystem,n1,replicate,s1,r4/1:/System/{NodeLive…-tsd}] 12  adding voter n2,s2: [1*:23]
I260425 12:04:03.539363 2388 13@kv/kvserver/replica_command.go:2528 ⋮ [T1,Vsystem,n1,replicate,s1,r4/1:/System/{NodeLive…-tsd}] 13  change replicas (add [(n2,s2):2LEARNER] remove []): existing descriptor r4:/System/{NodeLivenessMax-tsd} [(n1,s1):1, next=2, gen=0]
I260425 12:04:03.610892 2388 13@kv/kvserver/replica_raft.go:429 ⋮ [T1,Vsystem,n1,s1,r4/1:/System/{NodeLive…-tsd}] 14  proposing SIMPLE(l2) [(n2,s2):2LEARNER]: after=[(n1,s1):1 (n2,s2):2LEARNER] next=3
