I260425 12:04:02.468396 835 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 12:04:02
I260425 12:04:02.468403 835 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 12:04:02.468412 835 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 12:04:02.468417 835 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/home/ubuntu/bench_tier_a/cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26259› ‹--http-addr=localhost:8082› ‹--store=/mnt/crdb3› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/bench_tier_a/phase2_scenario1_results/hdd/logs/node3›]
I260425 12:04:02.468434 835 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 12:04:02.468438 835 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 12:04:02.468250 835 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n2,s2] 1  beginning range descriptor iteration
I260425 12:04:02.468542 835 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n2,s2] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 12:04:02.468574 835 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n2,s2] 3  loaded state for 0/0 replicas
I260425 12:04:02.468584 835 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n2,s2] 4  loaded 0 replicas
I260425 12:04:02.468592 835 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n2,s2] 5  verified 0/0 replicas
I260425 12:04:02.468601 835 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n2,s2] 6  initialized 0/0 replicas
I260425 12:04:03.767822 801 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 7  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777118646.678838824,0}
I260425 12:04:04.200393 1339 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r4/2:/System/{NodeLive…-tsd}] 8  applied snapshot 4bbfcde1 from (n1,s1):1 at applied index 25 (total=263ms data=664 KiB excise=true ingestion=6@207ms)
I260425 12:04:05.069056 1421 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r5/2:/System{/tsd-‹tse›}] 9  applied snapshot 73317716 from (n1,s1):1 at applied index 21 (total=276ms data=1.4 MiB excise=true ingestion=6@237ms)
I260425 12:04:06.768002 1684 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r6/2:/{System‹tse›-Table/0}] 10  applied snapshot 152ea9f1 from (n1,s1):1 at applied index 16 as write (total=35ms data=695 B excise=true ingestion=5@35ms)
I260425 12:04:07.366650 1701 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r9/2:/Table/{4-5}] 11  applied snapshot 20f62e7f from (n1,s1):1 at applied index 17 as write (total=36ms data=806 B excise=true ingestion=5@36ms)
I260425 12:04:09.313196 1751 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r2/2:/{Meta2-System/NodeL…}] 12  applied snapshot f1dfc232 from (n1,s1):1 at applied index 49 as write (total=37ms data=4.1 KiB excise=true ingestion=5@37ms)
I260425 12:04:10.616315 1757 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r12/2:/Table/{7-8}] 13  applied snapshot 4c42e755 from (n1,s1):1 at applied index 22 as write (total=37ms data=765 B excise=true ingestion=5@37ms)
I260425 12:04:11.985995 2227 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r7/2:/Table/{0-3}] 14  applied snapshot 6d1721fa from (n1,s1):1 at applied index 15 as write (total=69ms data=656 B excise=true ingestion=5@68ms)
I260425 12:04:12.394034 801 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 15  provided support for store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777118655.282290137,0}
I260425 12:04:12.723455 2109 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r16/3:/Table/1{2-3}] 16  applied snapshot 0d290742 from (n3,s3):2 at applied index 64 as write (total=66ms data=9.1 KiB excise=true ingestion=5@65ms)
I260425 12:04:13.214334 209 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r21/2:/Table/1{7-8}] 17  applied snapshot 7f88e14a from (n1,s1):1 at applied index 15 as write (total=36ms data=656 B excise=true ingestion=5@36ms)
I260425 12:04:13.905357 2342 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r10/2:/Table/{5-6}] 18  applied snapshot d9069da9 from (n1,s1):1 at applied index 31 as write (total=65ms data=1.0 KiB excise=true ingestion=5@64ms)
I260425 12:04:14.354108 2220 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r14/3:/Table/{9-11}] 19  applied snapshot c4e86f8e from (n3,s3):2 at applied index 24 as write (total=40ms data=806 B excise=true ingestion=5@40ms)
I260425 12:04:15.191682 2366 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r19/2:/Table/1{5-6}] 20  applied snapshot ebd2d081 from (n1,s1):1 at applied index 69 as write (total=69ms data=4.2 KiB excise=true ingestion=5@68ms)
I260425 12:04:17.316531 2460 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r13/3:/Table/{8-9}] 21  applied snapshot e9a40205 from (n3,s3):2 at applied index 25 as write (total=69ms data=881 B excise=true ingestion=5@69ms)
I260425 12:04:17.721094 2517 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r25/2:/Table/2{1-2}] 22  applied snapshot abdda889 from (n1,s1):1 at applied index 20 as write (total=63ms data=932 B excise=true ingestion=5@63ms)
I260425 12:04:19.452216 2529 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r28/2:/Table/2{4-5}] 23  applied snapshot ca6e5e0d from (n1,s1):1 at applied index 15 as write (total=64ms data=656 B excise=true ingestion=5@63ms)
I260425 12:04:20.159427 2614 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r26/2:/Table/2{2-3}] 24  applied snapshot 48c3f80a from (n1,s1):1 at applied index 15 as write (total=41ms data=656 B excise=true ingestion=5@41ms)
I260425 12:04:21.370244 2690 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r30/2:/Table/2{6-7}] 25  applied snapshot aeb52aa6 from (n1,s1):1 at applied index 15 as write (total=37ms data=656 B excise=true ingestion=5@37ms)
I260425 12:04:23.331511 2317 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r34/2:/NamespaceTable/{30-Max}] 26  applied snapshot 61ee87cf from (n1,s1):1 at applied index 23 as write (total=58ms data=3.0 KiB excise=true ingestion=5@58ms)
I260425 12:04:23.956580 2749 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r33/2:/{Table/29-NamespaceTab…}] 27  applied snapshot ee7147c5 from (n1,s1):1 at applied index 15 as write (total=57ms data=656 B excise=true ingestion=5@57ms)
I260425 12:04:25.277344 2577 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r36/2:/Table/3{2-3}] 28  applied snapshot 1aff272c from (n1,s1):1 at applied index 15 as write (total=36ms data=656 B excise=true ingestion=5@36ms)
I260425 12:04:26.426571 2767 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r29/2:/Table/2{5-6}] 29  applied snapshot 44e37f55 from (n1,s1):1 at applied index 15 as write (total=36ms data=656 B excise=true ingestion=5@36ms)
I260425 12:04:28.235247 2538 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r42/2:/Table/3{8-9}] 30  applied snapshot bf154dd3 from (n1,s1):1 at applied index 15 as write (total=59ms data=656 B excise=true ingestion=5@51ms)
I260425 12:04:28.272264 2539 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n2,s2,r17/3:/Table/1{3-4}] 31  applied snapshot b97b6873 from (n3,s3):2 at applied index 111 as write (total=65ms data=51 KiB excise=true ingestion=5@56ms)
I260425 12:04:28.518193 801 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n2,s2] 32  starting to heartbeat store {NodeID:1 StoreID:1}
I260425 12:04:28.518238 801 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n2,s2] 33  starting to heartbeat store {NodeID:2 StoreID:2}
I260425 12:04:28.638046 801 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n2,s2] 34  provided support for store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777118671.518244576,0}
