I260425 10:14:46.908430 882 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 10:14:46
I260425 10:14:46.908439 882 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 10:14:46.908452 882 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 10:14:46.908459 882 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/home/ubuntu/bench_tier_a/cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26258› ‹--http-addr=localhost:8081› ‹--store=/mnt/crdb2› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/bench_tier_a/phase2_scenario1_results/nvme/logs/node2›]
I260425 10:14:46.908483 882 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 10:14:46.908488 882 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 10:14:46.908250 882 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n3,s3] 1  beginning range descriptor iteration
I260425 10:14:46.908926 882 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n3,s3] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 10:14:46.908966 882 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n3,s3] 3  loaded state for 0/0 replicas
I260425 10:14:46.908976 882 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n3,s3] 4  loaded 0 replicas
I260425 10:14:46.908985 882 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n3,s3] 5  verified 0/0 replicas
I260425 10:14:46.908995 882 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n3,s3] 6  initialized 0/0 replicas
I260425 10:14:47.029981 1279 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r18/2:/Table/1{4-5}] 7  applied snapshot 78bddcc4 from (n1,s1):1 at applied index 15 as write (total=3ms data=655 B excise=true ingestion=5@2ms)
I260425 10:14:47.033428 956 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n3,s3] 8  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777112090.003904121,0}
I260425 10:14:47.078442 1329 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r1/2:/M{in-eta2}] 9  applied snapshot c5fbaeb1 from (n1,s1):1 at applied index 14 as write (total=3ms data=652 B excise=true ingestion=5@3ms)
I260425 10:14:47.270299 1364 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r17/2:/Table/1{3-4}] 10  applied snapshot 4369c20e from (n1,s1):1 at applied index 25 as write (total=11ms data=6.6 KiB excise=true ingestion=5@11ms)
I260425 10:14:47.578895 1400 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r4/2:/System/{NodeLive…-tsd}] 11  applied snapshot 84d8bbb2 from (n1,s1):1 at applied index 26 (total=43ms data=664 KiB excise=true ingestion=6@35ms)
I260425 10:14:47.745890 1615 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r8/2:/Table/{3-4}] 12  applied snapshot ebcce50e from (n1,s1):1 at applied index 21 as write (total=22ms data=90 KiB excise=true ingestion=5@21ms)
I260425 10:14:48.044649 1663 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r6/2:/{System‹tse›-Table/0}] 13  applied snapshot e15de383 from (n1,s1):1 at applied index 15 as write (total=11ms data=695 B excise=true ingestion=5@10ms)
I260425 10:14:48.434283 1702 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r11/2:/Table/{6-7}] 14  applied snapshot 878d502f from (n1,s1):1 at applied index 20 as write (total=7ms data=850 B excise=true ingestion=5@6ms)
I260425 10:14:48.733323 1728 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r5/2:/System{/tsd-‹tse›}] 15  applied snapshot acea89f3 from (n1,s1):1 at applied index 21 (total=47ms data=1.4 MiB excise=true ingestion=6@40ms)
I260425 10:14:48.917751 1794 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r3/2:/System/NodeLiveness{-Max}] 16  applied snapshot 6e312180 from (n1,s1):1 at applied index 19 as write (total=13ms data=1.1 KiB excise=true ingestion=5@12ms)
I260425 10:14:49.263799 1815 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r12/2:/Table/{7-8}] 17  applied snapshot 8dc3856b from (n1,s1):1 at applied index 19 as write (total=6ms data=723 B excise=true ingestion=5@5ms)
I260425 10:14:49.507218 1793 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r10/2:/Table/{5-6}] 18  applied snapshot 63f6f416 from (n1,s1):1 at applied index 30 as write (total=6ms data=1.0 KiB excise=true ingestion=5@6ms)
I260425 10:14:49.748718 1824 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r25/2:/Table/2{1-2}] 19  applied snapshot f97f30d3 from (n1,s1):1 at applied index 21 as write (total=6ms data=932 B excise=true ingestion=5@6ms)
I260425 10:14:49.990458 1925 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r41/2:/Table/3{7-8}] 20  applied snapshot 2a6e1fbf from (n1,s1):1 at applied index 25 as write (total=6ms data=1.2 KiB excise=true ingestion=5@6ms)
I260425 10:14:50.214498 1927 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r27/2:/Table/2{3-4}] 21  applied snapshot 1454a60a from (n1,s1):1 at applied index 18 as write (total=7ms data=887 B excise=true ingestion=5@6ms)
I260425 10:14:50.461432 1911 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r20/2:/Table/1{6-7}] 22  applied snapshot 9b19448b from (n1,s1):1 at applied index 15 as write (total=6ms data=656 B excise=true ingestion=5@6ms)
I260425 10:14:50.598225 1902 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r42/2:/Table/3{8-9}] 23  applied snapshot add491ff from (n1,s1):1 at applied index 15 as write (total=6ms data=656 B excise=true ingestion=5@6ms)
I260425 10:14:50.974099 1986 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r37/2:/Table/3{3-4}] 24  applied snapshot 326c0e77 from (n1,s1):1 at applied index 15 as write (total=12ms data=656 B excise=true ingestion=5@11ms)
