I260425 11:27:36.365434 784 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2026/04/25 11:27:36
I260425 11:27:36.365444 784 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹ip-172-31-60-74›
I260425 11:27:36.365457 784 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v26.3.0-alpha.00000000-dev (linux amd64, built , go1.26.2)
I260425 11:27:36.365463 784 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/home/ubuntu/bench_tier_a/cockroach› ‹start› ‹--insecure› ‹--listen-addr=localhost:26258› ‹--http-addr=localhost:8081› ‹--store=/mnt/crdb2› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=/home/ubuntu/bench_tier_a/phase2_scenario1_results/ssd-slow/logs/node2›]
I260425 11:27:36.365490 784 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I260425 11:27:36.365496 784 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I260425 11:27:36.365321 784 15@kv/kvserver/kvstorage/init.go:292 ⋮ [T1,Vsystem,n3,s3] 1  beginning range descriptor iteration
I260425 11:27:36.365620 784 15@kv/kvserver/kvstorage/init.go:419 ⋮ [T1,Vsystem,n3,s3] 2  range descriptor iteration done: 0 range descriptors, 0 intents, 0 tombstones; stats: ‹seeked 2 times (2 internal); stepped 0 times (0 internal)›
I260425 11:27:36.365665 784 15@kv/kvserver/kvstorage/init.go:604 ⋮ [T1,Vsystem,n3,s3] 3  loaded state for 0/0 replicas
I260425 11:27:36.365677 784 15@kv/kvserver/kvstorage/init.go:629 ⋮ [T1,Vsystem,n3,s3] 4  loaded 0 replicas
I260425 11:27:36.365685 784 15@kv/kvserver/kvstorage/init.go:666 ⋮ [T1,Vsystem,n3,s3] 5  verified 0/0 replicas
I260425 11:27:36.365695 784 15@kv/kvserver/store.go:2379 ⋮ [T1,Vsystem,n3,s3] 6  initialized 0/0 replicas
I260425 11:27:36.690650 953 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n3,s3] 7  provided support for store {NodeID:1 StoreID:1}; old = {Target:{NodeID:1 StoreID:1} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:1 StoreID:1} Epoch:1 Expiration:1777116459.640520946,0}
I260425 11:27:36.777439 1213 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r40/2:/Table/3{6-7}] 8  applied snapshot f0d8b0ed from (n1,s1):1 at applied index 15 as write (total=22ms data=655 B excise=true ingestion=5@22ms)
I260425 11:27:37.255407 1380 15@kv/kvserver/replica_raftstorage.go:572 ⋮ [T1,Vsystem,n3,s3,r25/2:/Table/2{1-2}] 9  applied snapshot 4a179553 from (n1,s1):1 at applied index 17 as write (total=13ms data=771 B excise=true ingestion=5@13ms)
